name,points
Антропология и этнология,257
Востоковедение и африканистика,265.75
Гостиничное дело,267
Государственное и муниципальное управление,252
Дизайн,290.5
Документоведение и архивоведение,239.5
Журналистика,291
Зарубежное регионоведение,277
Интеллектуальные системы в гуманитарной сфере,259
Информационная безопасность,223
История,256.2
Лингвистика,232
Международные отношения,273.33
Менеджмент,256
Политология,210
Прикладная информатика,213
Прикладная математика,210
Психология,231
Психолого-педагогическое образование,209
Публичная политика и социальные науки,259
Реклама и связи с общественностью,278.5
Религиоведение,253
Социология,272
Туризм,262
Управление персоналом,249
Филология,273.33
Философия,255
Фундаментальная и прикладная лингвистика,273
Экономика,255
Юриспруденция,268
Клиническая психология,234
Перевод и переводоведение,267.5
Психология служебной деятельности,208
