name,points
Антропология и этнология,210
Востоковедение и африканистика,257.14
Документоведение и архивоведение,210.00
Журналистика,286
Зарубежное регионоведение,270
Интеллектуальные системы в гуманитарной сфере,252
История,235.13
Клиническая психология,262
Конфликтология,251
Культурология,251.67
Лингвистика,279.00
Международные отношения,266.00
Педагогика и психология девиантного поведения,233
Перевод и переводоведение,281.50
Политология,267
Прикладная информатика,222
Психология,251
Психология служебной деятельности,241
Психолого-педагогическое образование,216
Публичная политика и социальные науки,252
Регионоведение России,255
Реклама и связи с общественностью,279
