name,points
Антропология и этнология,254
Востоковедение и африканистика,263.83
Государственное и муниципальное управление,274
Документоведение и архивоведение,217.2
Зарубежное регионоведение,270
Интеллектуальные системы в гуманитарной сфере,255
Информационная безопасность,195
История,258.38
Клиническая психология,257
Лингвистика,287
Международные отношения,261
Менеджмент,253
Перевод и переводоведение,291.5
Политология,267
Прикладная информатика,180
Прикладная математика,172
Психология служебной деятельности,246
Психолого-педагогическое образование,221
Публичная политика и социальные науки,264
Регионоведение России,248
Религиоведение,187
Социология,252
Теология,217
Управление персоналом,245
Филология,289
