name,2019points,2019allplaces,2019contest,2020points,2020allplaces,2020contest,2021points,2021allplaces,2021contest,2022points,2022allplaces,2022contest,2023points,2023allplaces,2023contest,2024points,2024allplaces,2024contest
Антропология и этнология,252.0,18,9.94,257.0,18,11.78,246.0,18,14.39,257.0,19,13.84,254.0,16,15.88,210.0,15,13.40
Востоковедение и африканистика,266.33,16,109.50,265.75,16,124.00,,16,,267.75,16,155.33,263.83,16,111.50,257.14,16,74.50
Гостиничное дело,273.0,6,115.50,267.0,7,109.00,,,,,,,,,,,
Государственное и муниципальное управление,248.0,6,186.67,252.0,4,173.50,,4,,251.0,3,445.00,274.0,1,2078.00,,,
Дизайн,264.0,8,33.75,290.5,3,189.00,,,,,,,,,,,
Документоведение и архивоведение,232.5,46,17.22,239.5,49,15.71,218.8,49,24.20,246.2,46,72.20,217.2,46,59.44,210.0,46,41.50
Журналистика,372.0,8,84.63,291.0,9,103.56,368.0,7,108.00,378.0,8,119.71,,,,286.0,2,183.50
Зарубежное регионоведение,274.0,16,60.13,277.0,18,57.89,266.0,15,75.67,266.0,18,64.63,270.0,3,261.67,270.0,7,101.43
Интеллектуальные системы в гуманитарной сфере,263.0,18,21.94,259.0,20,17.70,247.0,17,21.18,252.0,18,37.50,255.0,7,43.86,252.0,7,43.86
Информационная безопасность,224.0,24,19.50,223.0,29,16.21,198.0,22,13.09,,,,195.0,11,31.18,,
Искусства и гуманитарные науки,263.0,6,23.50,,8,20.38,243.0,8,20.38,,,,,,
История,254.2,62,32.27,256.2,62,47.21,247.1,62,53.53,254.6,62,74.94,258.38,62,96.75,235.13,62,61.33
Клиническая психология,245.0,12,40.67,234.0,14,40.64,253.0,7,78.71,231.0,8,75.71,257.0,9,117.56,262.0,9,117.56
Конфликтология,,,,,,,,,,,,,,,,251.0,7,78.57
Культурология,275.0,7,63.00,,5,96.60,266.3,3,112.33,,,,,251.67,3,119.33
Лингвистика,265.0,10,122.30,232.0,11,149.73,263.5,5,530.33,271.0,6,202.40,287.0,5,78.80,279.0,5,548.67
Международные отношения,266.33,37,64.71,273.33,47,68.55,266.3,15,164.86,270.0,26,81.46,261.0,11,164.86,266.0,10,119.44
Менеджмент,243.0,6,152.17,256.0,2,456.50,,3,351.00,249.0,3,351.00,253.0,1,721.00,,
Музеология и охрана объектов культурного и природного наследия,253.0,4,33.25,,,,,,,,,,,,
Педагогика и психология девиантного поведения,,,,,,,,,,,,,,,233.0,8,53.38
Перевод и переводоведение,263.0,13,128.43,267.5,18,70.82,,7,398.75,276.0,11,70.82,291.5,4,398.75,281.5,7,218.00
Политология,261.0,12,40.00,210.0,15,41.53,264.0,7,122.43,270.0,10,125.78,267.0,6,158.60,267.0,4,141.00
Прикладная информатика,225.0,20,23.20,213.0,25,18.40,213.0,24,12.13,241.0,27,28.67,180.0,21,15.48,222.0,25,21.68
Прикладная математика,221.0,12,32.42,210.0,15,20.53,172.0,11,16.64,231.0,20,30.45,172.0,14,13.71,,
Психология,239.0,11,52.27,231.0,14,49.57,,,,,,,251.0,8,138.88
Психология служебной деятельности,,13,31.62,208.0,15,26.07,231.0,10,45.00,229.0,5,86.50,246.0,9,61.44,241.0,9,61.44
Психолого-педагогическое образование,205.0,12,29.08,209.0,13,24.15,220.0,10,30.30,212.0,13,21.33,221.0,19,25.79,216.0,13,17.15
Публичная политика и социальные науки,275.0,12,57.83,259.0,12,53.08,272.0,9,104.22,269.0,9,162.75,264.0,1,290.00,252.0,1,290.00
Регионоведение России,,,,,,,,,,,248.0,2,49.00,255.0,3,32.67
Реклама и связи с общественностью,279.5,17,150.00,278.5,17,182.70,281.0,11,313.83,277.5,12,468.80,,,279.0,3,193.50
Религиоведение,243.0,15,8.00,253.0,17,10.53,205.0,12,8.67,253.0,10,13.10,187.0,13,10.85,,
Социология,271.0,16,63.69,272.0,18,63.00,273.0,16,75.63,271.0,18,92.94,252.0,25,63.40,,15,57.40
Теология,,,,,,,,,,,,,,217.0,3,15.33,
Туризм,259.0,8,37.00,262.0,10,33.50,,,,,,,,,,
Управление персоналом,243.0,6,168.50,249.0,4,166.75,,3,426.00,249.0,3,426.00,245.0,1,615.00,,
Филология,283.5,47,88.88,273.33,47,79.00,283.8,47,139.00,281.0,47,146.00,289.0,47,218.00,,47,144.14
Философия,245.0,19,28.11,255.0,22,23.91,244.0,22,36.62,,,,,,
Фундаментальная и прикладная лингвистика,275.0,8,59.13,273.0,8,62.88,278.0,8,48.25,,,,,,
Экономика,248.0,14,59.71,255.0,5,163.20,,,,,,,,,
Юриспруденция,241.0,542,52.66,268.0,13,115.23,,,,,,,,,
