name,points
Антропология и этнология,246
Государственное и муниципальное управление,
Документоведение и архивоведение,218.8
Журналистика,368
Зарубежное регионоведение,266
Интеллектуальные системы в гуманитарной сфере,247
Информационная безопасность,198
Искусства и гуманитарные науки,243
История,247.1
Клиническая психология,253
Культурология,266.3
Лингвистика,263.5
Международные отношения,266.3
Политология,264
Прикладная информатика,213
Прикладная математика,172
Психология,
Психология служебной деятельности,231
Психолого-педагогическое образование,220
Публичная политика и социальные науки,272
Реклама и связи с общественностью,281
Религиоведение,205
Социология,273
Филология,283.8
Философия,244
Фундаментальная и прикладная лингвистика,278
