name,points
Антропология и этнология,252
Востоковедение и африканистика,266.33
Гостиничное дело,273
Государственное и муниципальное управление,248
Дизайн,264
Документоведение и архивоведение,232.5
Журналистика,372
Зарубежное регионоведение,274
Интеллектуальные системы в гуманитарной сфере,263
Информационная безопасность,224
Искусства и гуманитарные науки,263
История,254.2
Культурология,275
Лингвистика,265
Международные отношения,266.33
Менеджмент,243
Музеология и охрана объектов культурного и природного наследия,253
Политология,261
Прикладная информатика,225
Прикладная математика,221
Психология,239
Психолого-педагогическое образование,205
Публичная политика и социальные науки,275
Реклама и связи с общественностью,279.5
Религиоведение,243
Социология,271
Туризм,259
Управление персоналом,243
Филология,283.5
Философия,245
Фундаментальная и прикладная лингвистика,275
Экономика,248
Юриспруденция,241
Клиническая психология,245
Перевод и переводоведение,263
